編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
1,專任~台大傳家~十興國小/勝利國中學區,,新竹縣竹北市莊敬北路102-150號,竹北市,1660,61.3,5-5/10,21,35.770,有車位/含車位11.140坪
2,竹北西區田園雅邸｜靜謐生活首選｜邊間透天,,新竹縣竹北市聯興三街136巷051-099號,竹北市,1380,26.76,1-4/4,32.3,51.570,有車位
3,專任～台泥商圈幸福大三房華廈~低公設,,新竹縣竹東鎮幸福路48巷002-050號,竹東鎮,1500,33.32,3-3/5,4.5,45.020,有車位
4,湳雅｜大魯閣｜品禾｜金雅｜光華學區大三房美裝平車,,新竹市北區金雅西街123巷001-049號,北區,1778,44.01,6-6/10,5.9,45.600,有車位/含車位8.610坪
5,【專】田字邊間透天住店｜面舊社國小 |大潤發商圈,,新竹市北區金竹路107巷002-050號,北區,2070,47.65,1-2/2,40.1,43.440,無車位
6,上館國小溫馨2+1房,,新竹縣竹東鎮幸福路121巷7號8樓,竹東鎮,500,17.14,8-8/13,30.7,29.180,無車位
7,光復園區套房,,新竹市東區光復路一段002-050號,東區,285,29.5,5-5/7,35.5,9.660,無車位
8,湖口東區-蘭州電梯二房便宜投資美廈,,新竹縣湖口鄉蘭州四街4號2樓,湖口鄉,420,21.52,2-2/5,31.7,19.520,無車位
9,竹北遠百俠隱高樓採光裝潢美屋,,新竹縣竹北市莊敬六街001-049號,竹北市,826,65.97,10-10/15,20.4,12.520,無車位
10,陽明采邑:新科國中，竹科旁稀有三房,,新竹市東區光復路一段051-099號,東區,920,30.7,7-7/12,32.3,29.970,無車位
11,中華大學3投套no32,,新竹市香山區柯湳一街80巷002-050號,香山區,315,17.89,3-3/5,24.9,17.610,無車位
12,市中心近遠百【亦樂靜居】超美二房加車位,,新竹市北區中山路101-149號,北區,1450,50.19,7-7/11,10.3,30.060,有車位/含車位4.160坪
13,新竹市透天,,新竹市北區大同路184巷002-050號,北區,780,35.28,1-2/2,86.7,22.110,無車位
14,專任椰城高樓採光明亮大三房平面車位緊鄰新科,,新竹市東區光復路一段89巷101-149號,東區,1646,37.6,11-11/14,27.2,43.780,有車位
15,群新墨客稀有高鐵三房採光視野佳平車,,新竹縣竹北市隘口一街202-250號,竹北市,2750,64.74,6-6/12,9.9,52.240,有車位/含車位12.080坪
16,專任 竹東自強學區【大樣臻美】美妝透天,,新竹縣竹東鎮北興路三段051-099號,竹東鎮,2400,47.09,-1-4/4,1.3,50.970,有車位
17,近園區富宇居易首購大三房+平面車位,,新竹縣寶山鄉雙豐二街102-150號,寶山鄉,1850,42.32,4-4/7,9.5,49.760,有車位/含車位8.890坪
18,專任《自由曲線》超值三房平車｜近全聯、便利商店,,新竹市東區埔頂三路101-149號,東區,2190,55.64,13-13/14,14.9,42.690,有車位/含車位6.030坪
19,芎林【大矽谷名人山莊】6房空中花園百坪雙併別墅,,新竹縣芎林鄉三民路002-050號,芎林鄉,2000,17.16,1-4/4,33.1,116.540,無車位
20,專任|環球市稀有東南向外棟景觀四室B1大車位,,新竹縣竹東鎮光明路126巷051-099號,竹東鎮,1838,38.31,3-3/14,11,52.730,有車位/含車位8.670坪
21,【本家芥子社區】質感裝潢電梯別墅,,新竹縣竹北市新興路52巷002-050號,竹北市,3100,39.16,1-4/4,5.4,79.170,有車位
22,原美館綠園道精巧美裝1+1房小資女的家,,新竹縣竹北市六家一路一段102-150號,竹北市,1300,54.37,2-2/15,14.7,31.570,有車位/含車位9.870坪
23,（專）遠百挑高辦公室,豐采520,新竹縣竹北市勝利二路【豐采520】B26棟15樓,竹北市,1260,60.31,15-15/25,未提供,26.900,有車位/含車位8.000坪
24,芎林馥御文昌2+1房兩衛B2,,新竹縣芎林鄉文昌街052-100號,芎林鄉,1158,50.06,2-2/10,2.2,23.130,有車位
25,專任新鮮貨【竹光公道三近學區翻修過透天】,,新竹市北區竹光路95巷4弄002-050號,北區,1515,60.02,1-3/3,54.2,25.240,無車位
26,高鐵區富宇君天下綠景大三房,,新竹縣竹北市東興路一段352-400號,竹北市,3188,66.49,5-5/14,9.8,54.390,有車位/含車位8.700坪
27,潘朵拉~東區精華小宅~首購族首選,,新竹市東區光復路二段651-699號,東區,475,46.75,9-9/10,19.9,10.160,無車位
