週期,縣市,編號,標題,社區,地址,行政區,成交總價(萬),成交單價(萬/坪),樓層,屋齡,建物坪數,車位
2026-01-13_01-19,新竹縣,1,新豐松林國小一樓便宜投資美公寓,,新竹縣新豐鄉康樂路一段200巷22弄,新豐鄉,405,19.7,1-1/4,41.9,20.560,無車位
2026-01-13_01-19,新竹縣,2,俠隱築科,,新竹縣竹北市莊敬六街11號11樓之2,竹北市,1589,53.33,11-11/15,20.4,36.880,有車位/含車位9.900坪
2026-01-13_01-19,新竹縣,3,站前學府【文匯館】,,新竹縣新豐鄉學府街72巷002-050號,新豐鄉,980,37.93,2-2/7,8.1,25.840,有車位
2026-01-13_01-19,新竹市,4,知愛雅舍,,新竹市東區埔頂路,東區,1750,36.72,5-5/5,22.3,47.660,有車位
2026-01-13_01-19,新竹縣,5,國賓大悅,,新竹縣竹北市勝利八街一段201-249號,竹北市,1790,56.1,26-26/27,9.8,38.250,有車位/含車位9.020坪
2026-01-13_01-19,新竹縣,6,(專任)好日子農舍,,新竹縣湖口鄉千禧路98巷,湖口鄉,2550,33.49,1-2/2,26.4,76.150,無車位
2026-01-13_01-19,新竹縣,7,放翁清境稀有獨棟別墅,,新竹縣竹東鎮學府東路352-400號,竹東鎮,3890,28.86,-1-4/4,19.3,134.780,有車位
2026-01-13_01-19,新竹市,8,笎坤世璽,,新竹市北區中清路一段,北區,1388,29.47,3-3/7,7,47.100,有車位
2026-01-13_01-19,新竹縣,9,錦永青耘,,新竹縣新豐鄉明新街,新豐鄉,1395,39.05,2-2/5,1.5,35.720,有車位
2026-01-13_01-19,新竹縣,10,(專任)遠百「豐采520」,,新竹縣竹北市勝利一路B23棟15樓,竹北市,1100,48.99,15-15/25,未提供,26.370,有車位/含車位8.000坪
2026-01-13_01-19,新竹縣,11,仁發富悅,,新竹縣竹北市十興路二段102-150號,竹北市,2650,61.48,12-12/14,6.5,50.910,有車位/含車位11.060坪
2026-01-13_01-19,新竹市,12,專任【新竹之昇】C5棟,,新竹市東區食品路11樓,東區,3300,60.1,11-11/30,未提供,64.320,有車位/含車位18.730坪
2026-01-13_01-19,新竹縣,13,專任【春福東綻】,,新竹縣竹東鎮北興路三段,竹東鎮,1668,42.89,14-14/15,2.5,41.930,有車位/含車位6.540坪
2026-01-13_01-19,新竹縣,14,仁發喜悅,,新竹縣竹北市日興一街,竹北市,1590,62.78,5-5/14,4.8,33.230,有車位/含車位11.090坪
2026-01-13_01-19,新竹縣,15,【市政首璽】,,新竹縣新埔鎮福德街401-449號,新埔鎮,1380,42.45,13-13/15,2.8,38.630,有車位/含車位9.660坪
2026-01-13_01-19,新竹市,16,中榮大樓~光榮世家,,新竹市東區光復路一段373號7樓之5,東區,1020,49.9,7-7/14,24.6,20.440,無車位
2026-01-13_01-19,新竹縣,17,《專任》星都匯C區,,新竹縣竹東鎮旭光一路202-250號,竹東鎮,1735,36.49,7-7/14,1.2,47.550,有車位
2026-01-13_01-19,新竹縣,18,專任富來新苑,,新竹縣湖口鄉德和路10巷60弄001-049號,湖口鄉,1280,25.3,8-8/13,0.8,50.590,有車位
2026-01-13_01-19,新竹縣,19,專任『微風名園』,,新竹縣新埔鎮福德街,新埔鎮,1360,33.34,4-4/14,6.3,46.420,有車位/含車位10.130坪
2026-01-13_01-19,新竹縣,20,【竹北中華路】碧友富貴金店面,,新竹縣竹北市中華路851-899號,竹北市,1250,70.58,1-1/10,12.2,17.710,無車位
2026-01-13_01-19,新竹市,21,野村賞持,,新竹市北區境福街002-050號,北區,1550,32,2-2/7,13.7,48.780,有車位/含車位5.040坪
2026-01-13_01-19,新竹市,22,春福江山,,新竹市東區明湖路1050巷,東區,538,24.29,5-5/5,31.4,22.150,無車位
2026-01-13_01-19,新竹縣,23,元邦大國,,新竹縣竹東鎮自由街120巷,竹東鎮,680,23.78,3-3/11,29.3,28.600,無車位
2026-01-13_01-19,新竹縣,24,竹東中豐路低總價透天,,新竹縣竹東鎮中豐路二段155巷1弄,竹東鎮,720,23.83,1-2/2,未提供,30.210,無車位
2026-01-13_01-19,新竹縣,25,專任五豐八莊透天,,新竹縣竹東鎮五豐八莊,竹東鎮,315,8.92,1-3/3,47.3,35.310,無車位
2026-01-13_01-19,新竹縣,26,稀有釋出!竹東【春城一期】,,新竹縣竹東鎮東榮路151巷,竹東鎮,1550,22.43,1-4/4,13.9,69.110,有車位
2026-01-13_01-19,新竹縣,27,【湖口市區】品苑電梯華廈,,新竹縣湖口鄉光明街001-049號,湖口鄉,1168,27.96,5-5/5,8.3,41.780,有車位
2026-01-13_01-19,新竹市,28,巨城三民｜大空間三房美寓,,新竹市東區民主路57巷5弄001-049號,東區,670,24.22,2-2/4,47.8,27.660,無車位
2026-01-13_01-19,新竹縣,29,【玫瑰華城】,,新竹縣湖口鄉德興路242巷,湖口鄉,500,19.58,2-2/6,31.3,25.530,無車位
2026-01-13_01-19,新竹縣,30,賺錢明星,,新竹縣新豐鄉康樂路一段361巷34弄,新豐鄉,738,19.96,3-3/7,17.2,36.980,無車位
2026-01-13_01-19,新竹市,31,新竹之昇B5棟,,新竹市東區食品路6樓,東區,3430,64.67,6-6/30,未提供,68.830,有車位/含車位18.730坪
2026-01-13_01-19,新竹市,32,巨城5分．春福君邸,,新竹市北區仁德街,北區,3360,47.63,4-4/15,12,75.410,有車位/含車位8.020坪
2026-01-13_01-19,新竹市,33,磐龍16米大面寬店面,,新竹市東區中央路101-149號,東區,9800,79.87,1-1/23,7.4,122.700,有車位
2026-01-13_01-19,新竹市,34,惠宇天晴,,新竹市東區埔頂一路151-199號,東區,3588,68.95,6-6/17,11.7,58.860,有車位/含車位9.000坪
2026-01-13_01-19,新竹市,35,悠行館,,新竹市香山區中華路五段752-800號,香山區,1300,31.58,5-5/13,1.7,46.730,有車位/含車位10.320坪
2026-01-13_01-19,新竹市,36,南寮獨棟大面寬透天,,新竹市北區嘉濱路12巷001-049號,北區,1460,22.85,1-3/3,26.5,63.900,無車位
2026-01-13_01-19,新竹市,37,敦煌,,新竹市東區中央路152-200號,東區,3600,39.66,22-22/29,18.4,90.770,有車位
2026-01-13_01-19,新竹市,38,專任新竹富春居,,新竹市東區埔頂一路,東區,1538,66.53,15-15/21,5.9,33.930,有車位/含車位13.070坪
2026-01-13_01-19,新竹縣,39,美！元邦大國樣品採光3房,,新竹縣竹東鎮自由街120巷5號8樓之1,竹東鎮,830,28.41,8-8/11,29.3,29.220,有車位
2026-01-13_01-19,新竹縣,40,專任!【春福上河】,,新竹縣竹北市社崙二街002-050號,竹北市,2780,46.59,12-12/15,4.8,77.500,有車位/含車位24.270坪
2026-01-13_01-19,新竹市,41,【國泰禾3房】,,新竹市東區介壽路001-049號,東區,2650,81.06,5-5/22,5.5,41.340,有車位/含車位10.870坪
2026-01-13_01-19,新竹縣,42,專任｜勝利首席,,新竹縣竹北市勝利八街一段301-349號,竹北市,2740,65.1,11-11/14,8.4,47.880,有車位/含車位8.100坪
2026-01-13_01-19,新竹縣,43,和興鎮 3+1房,,新竹縣湖口鄉德和路76巷46弄20號5樓,湖口鄉,650,14.38,5-5/5,25.3,45.190,有車位
2026-01-13_01-19,新竹縣,44,專任河岸景觀青川之上,,新竹縣竹北市興隆路一段523號14樓,竹北市,5500,55.4,14-14/24,12.9,120.450,有車位/含車位29.300坪
2026-01-13_01-19,新竹縣,45,獨家/竹北/台裕竹北城,,新竹縣竹北市中華路405巷11弄,竹北市,655,27.97,1-1/8,32.5,23.420,有車位
2026-01-13_01-19,新竹縣,46,專任【富宇雲極】,,新竹縣竹北市勝利八街二段101-149號,竹北市,3110,62.27,12-12/23,9.5,56.570,有車位/含車位9.040坪
2026-01-13_01-19,新竹市,47,長和街美套房,,新竹市北區長和街20巷3號2樓,北區,200,14.61,2-2/5,31.6,13.690,無車位
2026-01-13_01-19,新竹市,48,帝王庭園2,,新竹市東區長春街158巷1弄,東區,1350,37.76,4-4/5,35.3,45.340,有車位/含車位12.240坪
2026-01-13_01-19,新竹縣,49,竹北阿信邊間三房,,新竹縣竹北市新民街326巷,竹北市,900,27.57,3-3/7,30.2,32.650,有車位
2026-01-13_01-19,新竹縣,50,京御苑 3房,新業京御苑,新竹縣竹北市光明六路【新業京御苑】E棟5樓,竹北市,2288,57.52,5-5/26,未提供,37.690,有車位/含車位9.200坪
2026-01-13_01-19,新竹縣,51,竹東高中｜大地坪透店Ｂ,,新竹縣竹東鎮東寧路二段172號,竹東鎮,1213,16.01,-1-3/3,69.8,75.750,有車位
2026-01-13_01-19,新竹縣,52,華固富廣Vision,,新竹縣竹北市福興東路一段,竹北市,3760,38.76,4-4/15,20.3,97.000,有車位
2026-01-13_01-19,新竹縣,53,興希望溫馨裝潢兩房,,新竹縣竹北市北新一街,竹北市,1752,54.67,17-17/24,6.9,37.820,有車位/含車位8.520坪
2026-01-13_01-19,新竹縣,54,專任！！橫山沙坑美透天,,新竹縣橫山鄉沙坑街24號,橫山鄉,265,14.29,1-1/1,46.3,18.550,無車位
2026-01-13_01-19,新竹市,55,煙波行館 3房+車位,,新竹市北區天府路一段501-549號,北區,940,25.71,8-8/14,17.8,38.010,有車位/含車位5.350坪
2026-01-13_01-19,新竹縣,56,竹東高中｜大地坪透店A,,新竹縣竹東鎮東寧路二段170號,竹東鎮,1287,15.82,-1-3/3,70,81.330,有車位
2026-01-13_01-19,新竹縣,57,竹北華興｜力天品儒,,新竹縣竹北市新光街051-099號,竹北市,2160,50.21,6-6/10,2,50.600,有車位/含車位10.970坪
2026-01-13_01-19,新竹縣,58,新豐煙波假期透天,,新竹縣新豐鄉康和路156巷002-050號,新豐鄉,1280,30.65,1-3/3,22.7,41.760,無車位
2026-01-13_01-19,新竹市,59,湳雅光華三房美寓,,新竹市北區水田街196巷4號4樓,北區,412,19.26,4-4/4,未提供,21.390,無車位
2026-01-13_01-19,新竹市,60,磐龍3 武陵居,,新竹市北區鐵道路二段351-399號,北區,1650,51.82,16-16/23,3.5,37.850,有車位/含車位9.870坪
2026-01-13_01-19,新竹縣,61,科學園區旁漂亮3房,,新竹縣寶山鄉明湖路,寶山鄉,850,27.35,7-7/7,32.5,31.080,無車位
2026-01-13_01-19,新竹市,62,竹科悅揚美兩房,,新竹市東區埔頂二路052-100號,東區,1900,70.47,13-13/24,5.2,33.160,有車位/含車位8.330坪
2026-01-13_01-19,新竹縣,63,新豐【煙波海宴】,,新竹縣新豐鄉明新街426巷001-049號,新豐鄉,1070,27.83,5-5/6,21.3,38.450,無車位
2026-01-13_01-19,新竹縣,64,昌益里仁唯美,,新竹縣竹北市成功三路150號9樓,竹北市,2335,47.44,9-9/10,21.2,49.220,有車位
2026-01-13_01-19,新竹市,65,快樂頌-錢進時代,,新竹市香山區中華路四段705-9號6樓,香山區,195,23.78,6-6/6,18.7,8.200,無車位
2026-01-13_01-19,新竹縣,66,縣三巨人,,新竹縣竹北市勝利十一路252-300號,竹北市,1600,59.59,23-23/23,9.4,33.420,有車位/含車位9.090坪
2026-01-13_01-19,新竹市,67,森林首席E棟,,新竹市北區武陵路,北區,2450,53.18,3-3/14,未提供,51.720,有車位/含車位9.700坪
2026-01-13_01-19,新竹縣,68,「青年城」美透天,,新竹縣竹東鎮北興路二段196巷001-049號,竹東鎮,2050,36.8,1-4/4,12,55.710,無車位
2026-01-13_01-19,新竹縣,69,高鐵特區｜遠雄鉑悅,,新竹縣竹北市嘉豐北路16號22樓,竹北市,1580,79.82,22-22/23,6.4,24.220,有車位/含車位5.430坪
2026-01-13_01-19,新竹市,70,虎林國中3房平車,,新竹市香山區虎林街107巷18弄001-049號,香山區,505,15.55,4-4/5,31.3,32.470,有車位
2026-01-13_01-19,新竹縣,71,東方新都NO6,,新竹縣竹東鎮光武街81巷002-050號,竹東鎮,500,11.92,3-4/6,28.8,41.960,有車位
2026-01-13_01-19,新竹市,72,經國艷,,新竹市北區經國路二段151-199號,北區,760,52.63,10-10/11,17.4,16.950,有車位/含車位4.030坪
2026-01-20_01-26,新竹縣,1,專任星都心(住宅)景觀3房9樓+平面車位,,新竹縣竹東鎮光明路188巷002-050號,竹東鎮,1780,38.86,9-9/14,7.1,45.810,有車位
2026-01-20_01-26,新竹市,2,金雅公園旁3房+平面車位~美屋況,,新竹市北區金雅路133巷8弄002-050號,北區,900,26.81,3-3/5,31.8,33.570,有車位
